epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33646,0.9014,3.94703,0.87478,0.00088,0.01961,0.00408,0.00245,0.4303,3.71899,0.79313,0,0,0
2,2.00564,0.72069,3.74902,0.87221,0.00088,0.01961,0.00347,0.00208,0.43131,3.71572,0.79381,1.42193e-05,1.42193e-05,1.42193e-05
3,2.61787,0.84067,3.75802,0.877,0.00089,0.01961,0.00959,0.00575,0.43629,3.7099,0.79525,2.82971e-05,2.82971e-05,2.82971e-05
4,3.19712,0.85446,3.89197,0.86745,0.00089,0.01961,0.00654,0.00392,0.43616,3.70933,0.79469,4.22334e-05,4.22334e-05,4.22334e-05
5,3.89769,0.80508,3.826,0.89258,0.00088,0.01961,0.01875,0.01313,0.38709,3.62274,0.79127,5.60282e-05,5.60282e-05,5.60282e-05
6,4.69392,0.6823,3.66957,0.83955,0,0,0,0,0.44142,3.59859,0.79395,6.96816e-05,6.96816e-05,6.96816e-05
7,5.48131,0.63153,3.50231,0.84503,0,0,0,0,0.49775,3.59022,0.79606,8.31935e-05,8.31935e-05,8.31935e-05
8,6.3158,0.65283,3.2323,0.84219,0,0,0,0,0.49869,3.5821,0.79785,9.6564e-05,9.6564e-05,9.6564e-05
9,7.09162,0.61716,3.06659,0.79415,0.00805,0.24314,0.00604,0.00544,0.4863,3.57952,0.79718,0.000109793,0.000109793,0.000109793
10,7.93873,0.60984,2.93042,0.80561,0.0133,0.33333,0.01342,0.01212,0.46115,3.56506,0.79466,0.00012288,0.00012288,0.00012288
11,8.88171,0.70657,2.61305,0.83579,0.01517,0.51373,0.01438,0.01326,0.44717,3.55381,0.79374,0.000135826,0.000135826,0.000135826
12,9.68746,0.6128,2.16396,0.8166,0.01799,0.64762,0.01732,0.01563,0.46658,3.52922,0.79168,0.000148631,0.000148631,0.000148631
13,10.5014,0.64423,1.99674,0.83252,0.01792,0.66667,0.01817,0.01604,0.49043,3.48736,0.79271,0.000161294,0.000161294,0.000161294
14,11.3688,0.68815,1.69494,0.88171,0.0108,0.51821,0.03286,0.02448,0.47028,3.42957,0.78793,0.000173816,0.000173816,0.000173816
15,12.1345,0.70091,1.78574,0.86284,0.01159,0.53782,0.06646,0.05232,0.44215,3.37732,0.78461,0.000186196,0.000186196,0.000186196
16,12.9883,0.87184,1.85868,0.86541,0.00582,0.29636,0.11329,0.09311,0.47208,3.3352,0.78466,0.000198435,0.000198435,0.000198435
17,13.7999,0.73321,1.63917,0.85423,0.0083,0.38319,0.18786,0.14767,0.55053,3.30876,0.78506,0.000210532,0.000210532,0.000210532
18,14.5117,0.67198,1.51695,0.82113,0.0083,0.38319,0.18786,0.14767,0.55053,3.30876,0.78506,0.000222487,0.000222487,0.000222487
19,15.2755,0.74489,1.53524,0.82225,0.01166,0.58375,0.31582,0.2357,0.59635,3.25944,0.78805,0.000234302,0.000234302,0.000234302
20,16.0461,0.72741,1.34159,0.82503,0.01166,0.58375,0.31582,0.2357,0.59635,3.25944,0.78805,0.000245974,0.000245974,0.000245974
21,16.8813,0.65317,1.21054,0.80088,0.01727,0.81513,0.39601,0.26925,0.55993,3.23172,0.78179,0.000257506,0.000257506,0.000257506
22,17.7788,0.72092,1.19219,0.81499,0.01727,0.81513,0.39601,0.26925,0.55993,3.23172,0.78179,0.000268896,0.000268896,0.000268896
23,18.57,0.66434,1.19626,0.81105,0.01648,0.79552,0.41485,0.2982,0.51326,3.2001,0.78095,0.000280144,0.000280144,0.000280144
