epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,37.4657,0.59221,1.03526,0.82556,0.02294,1,0.75019,0.65048,0.45185,2.58619,0.78351,0.000350625,0.000350625,0.000350625
44,38.2962,0.60117,0.85537,0.83486,0.02294,1,0.75019,0.65048,0.45185,2.58619,0.78351,0.00035289,0.00035289,0.00035289
45,39.1606,0.50194,0.90581,0.82083,0.82363,0.39753,0.7428,0.62309,0.44598,2.52212,0.78466,0.000354872,0.000354872,0.000354872
46,40.134,0.56742,0.8081,0.84367,0.82363,0.39753,0.7428,0.62309,0.44598,2.52212,0.78466,0.000356571,0.000356571,0.000356571
47,41.0179,0.54481,0.80695,0.80393,1,0.16173,0.74287,0.65167,0.45687,2.46692,0.78565,0.000357987,0.000357987,0.000357987
48,41.8869,0.55315,0.78506,0.80167,1,0.16173,0.74287,0.65167,0.45687,2.46692,0.78565,0.000359121,0.000359121,0.000359121
49,42.7582,0.5475,0.99868,0.8208,1,0.14884,0.73801,0.6482,0.50376,2.37949,0.78658,0.000359971,0.000359971,0.000359971
50,43.5427,0.57228,0.8166,0.81931,1,0.14884,0.73801,0.6482,0.50376,2.37949,0.78658,0.000360538,0.000360538,0.000360538
51,44.458,0.52628,0.78719,0.81735,1,0.23381,0.75677,0.66659,0.50645,2.31332,0.79363,0.000360822,0.000360822,0.000360822
52,45.2655,0.53019,0.75939,0.81741,1,0.23381,0.75677,0.66659,0.50645,2.31332,0.79363,0.000360824,0.000360824,0.000360824
53,46.0991,0.52591,0.70867,0.82892,1,0.23381,0.75677,0.66659,0.50645,2.31332,0.79363,0.000360542,0.000360542,0.000360542
54,46.9753,0.62498,0.90227,0.85246,1,0.33198,0.76666,0.67342,0.49598,2.25399,0.80178,0.000359978,0.000359978,0.000359978
55,47.7982,0.48612,0.70355,0.82025,1,0.33198,0.76666,0.67342,0.49598,2.25399,0.80178,0.000359131,0.000359131,0.000359131
56,48.7198,0.51764,0.75804,0.80293,1,0.33198,0.76666,0.67342,0.49598,2.25399,0.80178,0.000358,0.000358,0.000358
57,49.5749,0.49103,0.71654,0.82908,1,0.37091,0.87155,0.74952,0.4878,2.2229,0.80619,0.000356587,0.000356587,0.000356587
58,50.3703,0.53344,0.68003,0.82536,1,0.37091,0.87155,0.74952,0.4878,2.2229,0.80619,0.000354891,0.000354891,0.000354891
59,51.1697,0.49875,0.64985,0.81876,1,0.37091,0.87155,0.74952,0.4878,2.2229,0.80619,0.000352912,0.000352912,0.000352912
60,52.0728,0.57512,0.81895,0.8231,1,0.40302,0.92127,0.78784,0.50455,2.18158,0.80888,0.000350649,0.000350649,0.000350649
61,52.8692,0.518,0.78196,0.79659,1,0.40302,0.92127,0.78784,0.50455,2.18158,0.80888,0.000348104,0.000348104,0.000348104
62,53.692,0.51273,0.69809,0.8018,1,0.40302,0.92127,0.78784,0.50455,2.18158,0.80888,0.000345276,0.000345276,0.000345276
63,54.6909,0.55149,0.68199,0.82936,1,0.4248,0.95204,0.81899,0.49348,2.14817,0.81128,0.000342165,0.000342165,0.000342165
64,55.5164,0.47876,0.65625,0.81825,1,0.4248,0.95204,0.81899,0.49348,2.14817,0.81128,0.000338772,0.000338772,0.000338772
65,56.5474,0.50453,0.65272,0.82771,1,0.4248,0.95204,0.81899,0.49348,2.14817,0.81128,0.000335095,0.000335095,0.000335095
66,57.4522,0.53525,0.7462,0.84589,1,0.47204,0.98389,0.84559,0.47319,2.10821,0.81313,0.000331135,0.000331135,0.000331135
67,58.258,0.49649,0.7366,0.81649,1,0.47204,0.98389,0.84559,0.47319,2.10821,0.81313,0.000326892,0.000326892,0.000326892
68,59.058,0.48288,0.6605,0.8207,1,0.47204,0.98389,0.84559,0.47319,2.10821,0.81313,0.000322367,0.000322367,0.000322367
69,59.902,0.47124,0.62678,0.80813,1,0.51336,0.995,0.87783,0.43842,2.06165,0.80968,0.000317558,0.000317558,0.000317558
70,60.6987,0.52174,0.65495,0.84139,1,0.51336,0.995,0.87783,0.43842,2.06165,0.80968,0.000312467,0.000312467,0.000312467
71,61.6257,0.46264,0.63243,0.81875,1,0.51336,0.995,0.87783,0.43842,2.06165,0.80968,0.000307092,0.000307092,0.000307092
72,62.4572,0.5957,0.65961,0.83398,0.98571,0.5891,0.995,0.86884,0.44197,2.00396,0.81017,0.000301435,0.000301435,0.000301435
73,63.2388,0.46037,0.6133,0.79631,0.98571,0.5891,0.995,0.86884,0.44197,2.00396,0.81017,0.000295494,0.000295494,0.000295494
74,64.0301,0.45562,0.67583,0.83347,0.98571,0.5891,0.995,0.86884,0.44197,2.00396,0.81017,0.000289271,0.000289271,0.000289271
75,65.0715,0.50811,0.65264,0.82517,0.97173,0.63334,0.995,0.88067,0.43126,1.90726,0.81063,0.000282765,0.000282765,0.000282765
76,65.9181,0.51461,0.64085,0.86083,0.97173,0.63334,0.995,0.88067,0.43126,1.90726,0.81063,0.000275976,0.000275976,0.000275976
77,66.7478,0.40854,0.65802,0.83865,0.97173,0.63334,0.995,0.88067,0.43126,1.90726,0.81063,0.000268904,0.000268904,0.000268904
78,67.6054,0.49233,0.58031,0.82442,0.95639,0.80389,0.995,0.90887,0.41387,1.78845,0.80727,0.000261548,0.000261548,0.000261548
79,68.4514,0.42889,0.60847,0.81837,0.95639,0.80389,0.995,0.90887,0.41387,1.78845,0.80727,0.00025391,0.00025391,0.00025391
80,69.3004,0.5224,0.64711,0.8363,0.95639,0.80389,0.995,0.90887,0.41387,1.78845,0.80727,0.000245989,0.000245989,0.000245989
81,70.1896,0.53837,0.61747,0.83449,0.97528,0.83915,0.995,0.88085,0.39955,1.64908,0.81286,0.000237786,0.000237786,0.000237786
82,71.0239,0.59347,0.89137,0.87016,0.97528,0.83915,0.995,0.88085,0.39955,1.64908,0.81286,0.000229299,0.000229299,0.000229299
83,71.8016,0.48461,0.57758,0.81394,0.97528,0.83915,0.995,0.88085,0.39955,1.64908,0.81286,0.000220529,0.000220529,0.000220529
