epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,33.5182,0.57276,0.89622,0.84703,0.02325,1,0.77312,0.57229,0.48846,2.90534,0.78326,0.000348077,0.000348077,0.000348077
43,34.3577,0.58085,0.96108,0.82143,0.02327,1,0.77513,0.59373,0.50085,2.85677,0.78551,0.000350625,0.000350625,0.000350625
44,35.121,0.60543,0.80346,0.83506,0.02327,1,0.77513,0.59373,0.50085,2.85677,0.78551,0.00035289,0.00035289,0.00035289
45,35.9446,0.57794,0.87915,0.82756,0.02325,1,0.74005,0.55297,0.47814,2.81544,0.78432,0.000354872,0.000354872,0.000354872
46,36.716,0.60032,0.77777,0.85318,0.02325,1,0.74005,0.55297,0.47814,2.81544,0.78432,0.000356571,0.000356571,0.000356571
47,37.5092,0.60621,0.75467,0.8152,0.02334,1,0.74924,0.56483,0.44008,2.77052,0.78439,0.000357987,0.000357987,0.000357987
48,38.2154,0.60721,0.7553,0.80475,0.02334,1,0.74924,0.56483,0.44008,2.77052,0.78439,0.000359121,0.000359121,0.000359121
49,39.0167,0.57572,0.90868,0.8251,0.02258,0.93333,0.66874,0.54039,0.43743,2.72421,0.78528,0.000359971,0.000359971,0.000359971
50,39.7852,0.60309,0.77516,0.83374,0.02258,0.93333,0.66874,0.54039,0.43743,2.72421,0.78528,0.000360538,0.000360538,0.000360538
51,40.61,0.59072,0.7438,0.82182,0.02339,1,0.61402,0.5234,0.42964,2.66821,0.79638,0.000360822,0.000360822,0.000360822
52,41.4907,0.52477,0.76942,0.82482,0.02339,1,0.61402,0.5234,0.42964,2.66821,0.79638,0.000360824,0.000360824,0.000360824
53,42.2436,0.53435,0.71817,0.8255,0.02339,1,0.61402,0.5234,0.42964,2.66821,0.79638,0.000360542,0.000360542,0.000360542
54,43.0375,0.64037,0.89365,0.84616,0.02342,1,0.86495,0.71297,0.43295,2.5918,0.80029,0.000359978,0.000359978,0.000359978
55,43.7801,0.48749,0.77192,0.81464,0.02342,1,0.86495,0.71297,0.43295,2.5918,0.80029,0.000359131,0.000359131,0.000359131
56,44.5058,0.5713,0.78418,0.8144,0.02342,1,0.86495,0.71297,0.43295,2.5918,0.80029,0.000358,0.000358,0.000358
57,45.3436,0.54938,0.85905,0.83642,0.02352,1,0.86935,0.71465,0.43937,2.52299,0.80177,0.000356587,0.000356587,0.000356587
58,46.1318,0.54912,0.68866,0.82503,0.02352,1,0.86935,0.71465,0.43937,2.52299,0.80177,0.000354891,0.000354891,0.000354891
59,46.8531,0.49449,0.65051,0.81713,0.02352,1,0.86935,0.71465,0.43937,2.52299,0.80177,0.000352912,0.000352912,0.000352912
60,47.6276,0.60975,0.85259,0.82817,0.02345,1,0.98389,0.83632,0.45332,2.45583,0.80794,0.000350649,0.000350649,0.000350649
61,48.3562,0.54446,0.78941,0.78812,0.02345,1,0.98389,0.83632,0.45332,2.45583,0.80794,0.000348104,0.000348104,0.000348104
62,49.2827,0.5718,0.70738,0.81462,0.02345,1,0.98389,0.83632,0.45332,2.45583,0.80794,0.000345276,0.000345276,0.000345276
63,50.0679,0.58196,0.67465,0.84524,0.99247,0.58495,0.995,0.83749,0.47377,2.37811,0.80955,0.000342165,0.000342165,0.000342165
64,50.8153,0.51342,0.67551,0.81977,0.99247,0.58495,0.995,0.83749,0.47377,2.37811,0.80955,0.000338772,0.000338772,0.000338772
65,51.5784,0.52507,0.68144,0.83335,0.99247,0.58495,0.995,0.83749,0.47377,2.37811,0.80955,0.000335095,0.000335095,0.000335095
66,52.3887,0.56306,0.72033,0.83683,1,0.18992,0.995,0.86761,0.46618,2.3057,0.80731,0.000331135,0.000331135,0.000331135
67,53.1755,0.50644,0.67768,0.81178,1,0.18992,0.995,0.86761,0.46618,2.3057,0.80731,0.000326892,0.000326892,0.000326892
68,53.9511,0.54365,0.68268,0.83661,1,0.18992,0.995,0.86761,0.46618,2.3057,0.80731,0.000322367,0.000322367,0.000322367
69,54.751,0.52314,0.69261,0.82398,0.99261,0.33333,0.995,0.89658,0.44293,2.22018,0.80429,0.000317558,0.000317558,0.000317558
70,55.4789,0.55854,0.68276,0.83645,0.99261,0.33333,0.995,0.89658,0.44293,2.22018,0.80429,0.000312467,0.000312467,0.000312467
71,56.1965,0.50369,0.67656,0.82033,0.99261,0.33333,0.995,0.89658,0.44293,2.22018,0.80429,0.000307092,0.000307092,0.000307092
72,57.1391,0.62285,0.78769,0.83188,0.98022,0.33333,0.995,0.88114,0.45531,2.10247,0.80789,0.000301435,0.000301435,0.000301435
73,57.8521,0.50296,0.65453,0.79943,0.98022,0.33333,0.995,0.88114,0.45531,2.10247,0.80789,0.000295494,0.000295494,0.000295494
74,58.5448,0.47827,0.64185,0.84776,0.98022,0.33333,0.995,0.88114,0.45531,2.10247,0.80789,0.000289271,0.000289271,0.000289271
75,59.321,0.55648,0.69535,0.82709,0.97504,0.50726,0.995,0.87969,0.46037,1.95202,0.81087,0.000282765,0.000282765,0.000282765
76,60.0705,0.52727,0.66468,0.8512,0.97504,0.50726,0.995,0.87969,0.46037,1.95202,0.81087,0.000275976,0.000275976,0.000275976
77,60.8088,0.43036,0.61048,0.83919,0.97504,0.50726,0.995,0.87969,0.46037,1.95202,0.81087,0.000268904,0.000268904,0.000268904
78,61.6707,0.51253,0.60107,0.8209,0.97173,0.73319,0.995,0.89536,0.43334,1.78364,0.8095,0.000261548,0.000261548,0.000261548
79,62.4048,0.46344,0.7071,0.82131,0.97173,0.73319,0.995,0.89536,0.43334,1.78364,0.8095,0.00025391,0.00025391,0.00025391
80,63.1575,0.51916,0.68612,0.83868,0.97173,0.73319,0.995,0.89536,0.43334,1.78364,0.8095,0.000245989,0.000245989,0.000245989
81,63.9428,0.56129,0.62947,0.83351,0.96878,0.88664,0.995,0.90508,0.42008,1.61573,0.80734,0.000237786,0.000237786,0.000237786
82,64.8433,0.57561,0.74768,0.86913,0.96878,0.88664,0.995,0.90508,0.42008,1.61573,0.80734,0.000229299,0.000229299,0.000229299
83,65.5388,0.46262,0.57597,0.80727,0.96878,0.88664,0.995,0.90508,0.42008,1.61573,0.80734,0.000220529,0.000220529,0.000220529
84,66.3318,0.48781,0.61545,0.79845,0.96702,1,0.995,0.91032,0.40502,1.47571,0.80369,0.000211476,0.000211476,0.000211476
85,67.0797,0.4268,0.67471,0.81176,0.96702,1,0.995,0.91032,0.40502,1.47571,0.80369,0.000202141,0.000202141,0.000202141
86,67.8159,0.52526,0.66565,0.8146,0.96702,1,0.995,0.91032,0.40502,1.47571,0.80369,0.000192522,0.000192522,0.000192522
87,68.5193,0.50416,0.67374,0.80993,0.96702,1,0.995,0.91032,0.40502,1.47571,0.80369,0.00018262,0.00018262,0.00018262
88,69.3332,0.47801,0.60974,0.83404,0.95356,0.98506,0.995,0.92257,0.39522,1.36297,0.79957,0.000172436,0.000172436,0.000172436
89,70.0769,0.44179,0.60145,0.80003,0.95356,0.98506,0.995,0.92257,0.39522,1.36297,0.79957,0.000161969,0.000161969,0.000161969
90,70.8128,0.45284,0.53618,0.79104,0.95356,0.98506,0.995,0.92257,0.39522,1.36297,0.79957,0.000151218,0.000151218,0.000151218
91,79.0003,0.44034,0.65121,0.80938,0.95356,0.98506,0.995,0.92257,0.39522,1.36297,0.79957,0.000140185,0.000140185,0.000140185
92,79.8733,0.44466,0.62556,0.78907,0.92741,0.97881,0.995,0.91523,0.38276,1.29531,0.79848,0.000128869,0.000128869,0.000128869
93,80.8059,0.51124,0.80073,0.81522,0.92741,0.97881,0.995,0.91523,0.38276,1.29531,0.79848,0.000117269,0.000117269,0.000117269
94,81.548,0.4397,0.62381,0.79708,0.92741,0.97881,0.995,0.91523,0.38276,1.29531,0.79848,0.000105387,0.000105387,0.000105387
95,82.2429,0.43015,0.6179,0.78473,0.92741,0.97881,0.995,0.91523,0.38276,1.29531,0.79848,9.32222e-05,9.32222e-05,9.32222e-05
96,82.9959,0.44319,0.57327,0.80066,0.92266,0.97799,0.995,0.93536,0.374,1.21022,0.79902,8.07742e-05,8.07742e-05,8.07742e-05
97,83.7119,0.45626,0.63254,0.79727,0.92266,0.97799,0.995,0.93536,0.374,1.21022,0.79902,6.80433e-05,6.80433e-05,6.80433e-05
98,84.4602,0.43248,0.62677,0.79779,0.92266,0.97799,0.995,0.93536,0.374,1.21022,0.79902,5.50294e-05,5.50294e-05,5.50294e-05
99,85.1787,0.43453,0.55896,0.78872,0.92266,0.97799,0.995,0.93536,0.374,1.21022,0.79902,4.17325e-05,4.17325e-05,4.17325e-05
100,85.9157,0.46232,0.61294,0.81674,0.9262,0.97538,0.995,0.9263,0.36957,1.10816,0.79896,2.81527e-05,2.81527e-05,2.81527e-05
